,geo,date,hicp_yoy,urate,hicp_yoy_lag1,hicp_yoy_lag2,hicp_yoy_lag3,urate_lag1,urate_lag2,urate_lag3
3,AT,1997-05-01,1.3,5.266666666666667,1.2,1.2,1.4,5.266666666666667,5.3,5.266666666666667
4,AT,1997-06-01,1.0,5.266666666666667,1.3,1.2,1.2,5.266666666666667,5.266666666666667,5.3
5,AT,1997-07-01,0.9,5.3,1.0,1.3,1.2,5.266666666666667,5.266666666666667,5.266666666666667
6,AT,1997-08-01,1.3,5.266666666666667,0.9,1.0,1.3,5.3,5.266666666666667,5.266666666666667
7,AT,1997-09-01,1.2,5.3,1.3,0.9,1.0,5.266666666666667,5.3,5.266666666666667
8,AT,1997-10-01,1.1,5.3,1.2,1.3,0.9,5.3,5.266666666666667,5.3
9,AT,1997-11-01,1.1,5.333333333333333,1.1,1.2,1.3,5.3,5.3,5.266666666666667
10,AT,1997-12-01,1.0,5.366666666666667,1.1,1.1,1.2,5.333333333333333,5.3,5.3
11,AT,1998-01-01,1.2,5.3999999999999995,1.0,1.1,1.1,5.366666666666667,5.333333333333333,5.3
12,AT,1998-02-01,1.0,5.5,1.2,1.0,1.1,5.3999999999999995,5.366666666666667,5.333333333333333
13,AT,1998-03-01,1.0,5.433333333333334,1.0,1.2,1.0,5.5,5.3999999999999995,5.366666666666667
14,AT,1998-04-01,1.2,5.333333333333333,1.0,1.0,1.2,5.433333333333334,5.5,5.3999999999999995
15,AT,1998-05-01,1.0,5.266666666666667,1.2,1.0,1.0,5.333333333333333,5.433333333333334,5.5
16,AT,1998-06-01,0.8,5.166666666666667,1.0,1.2,1.0,5.266666666666667,5.333333333333333,5.433333333333334
17,AT,1998-07-01,0.8,5.1000000000000005,0.8,1.0,1.2,5.166666666666667,5.266666666666667,5.333333333333333
18,AT,1998-08-01,0.7,5.033333333333334,0.8,0.8,1.0,5.1000000000000005,5.166666666666667,5.266666666666667
19,AT,1998-09-01,0.6,4.966666666666667,0.7,0.8,0.8,5.033333333333334,5.1000000000000005,5.166666666666667
20,AT,1998-10-01,0.7,4.8999999999999995,0.6,0.7,0.8,4.966666666666667,5.033333333333334,5.1000000000000005
21,AT,1998-11-01,0.5,4.766666666666667,0.7,0.6,0.7,4.8999999999999995,4.966666666666667,5.033333333333334
